Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2021-07-30,1873.6064,1885.3663,1850.9527,1855.5108,1843.4275,228312,0.0000,1.0
2021-08-02,1866.2679,1895.2574,1860.6158,1888.4202,1876.1227,406792,0.0000,1.0
2021-08-03,1900.7271,1906.4247,1881.7198,1902.4592,1890.0702,318185,0.0000,1.0
2021-08-04,1912.2135,1927.2552,1902.5504,1917.6377,1905.1498,297852,0.0000,1.0
2021-08-05,1929.8078,1964.1758,1918.3214,1944.7583,1932.0939,357064,0.0000,1.0
2021-08-06,1937.3742,1956.3359,1895.4397,1904.4192,1892.0174,336073,0.0000,1.0
2021-08-09,1892.7049,1904.8294,1883.224,1893.6621,1881.3304,236037,0.0000,1.0
2021-08-10,1900.4536,1926.0701,1890.2891,1903.8266,1891.4287,415981,0.0000,1.0
2021-08-11,1913.4898,1932.178,1898.4936,1929.0785,1916.5162,346083,0.0000,1.0
2021-08-12,1937.2375,1938.7872,1919.3242,1923.7455,1911.2179,235334,0.0000,1.0
2021-08-13,1928.805,1959.8001,1923.6543,1955.1964,1942.464,208107,0.0000,1.0
2021-08-16,1956.7917,2007.3866,1940.5649,1980.4483,1967.5514,361511,0.0000,1.0
2021-08-17,1978.2148,1991.8891,1958.4326,1972.6995,1959.8531,183210,0.0000,1.0
2021-08-18,1982.7729,1992.8007,1962.4438,1979.6278,1966.7363,148076,0.0000,1.0
2021-08-20,1958.1592,1979.7645,1949.043,1956.5182,1943.7772,254217,0.0000,1.0
2021-08-23,1976.3915,1979.9924,1943.9835,1971.2865,1958.4493,133580,0.0000,1.0
2021-08-24,1972.6539,1998.1793,1964.9507,1989.8835,1976.9252,270903,0.0000,1.0
2021-08-25,1990.704,2023.7046,1987.331,2007.6601,1994.586,208006,0.0000,1.0
2021-08-26,2011.9447,2046.4495,2010.0303,2033.5045,2020.2622,213604,0.0000,1.0
2021-08-27,2034.7352,2044.1705,2020.0581,2029.9492,2016.73,178133,0.0000,1.0
2021-08-30,2042.0282,2073.9349,2041.6635,2069.4223,2055.9461,161691,0.0000,1.0
2021-08-31,2074.1628,2081.2278,2044.3072,2059.6224,2046.21,376864,0.0000,1.0
2021-09-01,2073.9349,2090.2529,1941.75,2069.1489,2055.6744,299873,0.0000,1.0
2021-09-02,2060.2606,2103.1067,2058.8476,2090.9366,2077.3202,293438,0.0000,1.0
2021-09-03,2103.5625,2182.6911,2102.9244,2177.1758,2162.9978,543323,0.0000,1.0
2021-09-06,2200.65,2260.6802,2200.0574,2210.2676,2195.8741,601994,0.0000,1.0
2021-09-07,2214.4155,2240.7613,2198.8268,2225.5372,2211.0443,276017,0.0000,1.0
2021-09-08,2237.1148,2238.0264,2193.4938,2215.7829,2201.3535,233017,0.0000,1.0
2021-09-09,2216.102,2222.8024,2202.4732,2211.088,2196.6892,102685,0.0000,1.0
2021-09-13,2213.4127,2215.2359,2158.8067,2161.9517,2147.8729,224625,0.0000,1.0
2021-09-14,2167.8317,2182.4176,2156.9834,2158.989,2144.9294,241961,0.0000,1.0
2021-09-15,2162.362,2183.5571,2159.4904,2168.6977,2154.575,76028,0.0000,1.0
2021-09-16,2168.7433,2220.7056,2157.8039,2213.5038,2199.0893,408347,0.0000,1.0
2021-09-17,2228.9102,2238.7557,2168.561,2179.1358,2164.945,231182,0.0000,1.0
2021-09-20,2165.0968,2204.2965,2160.5387,2182.3264,2168.1149,215248,0.0000,1.0
2021-09-21,2197.9151,2202.4732,2173.894,2191.6705,2177.3982,376728,0.0000,1.0
2021-09-22,2196.0919,2225.4916,2186.2008,2215.7829,2201.3535,272044,0.0000,1.0
2021-09-23,2228.9102,2276.2689,2228.9102,2269.614,2254.8341,3174137,0.0000,1.0
2021-09-24,2279.0493,2283.3339,2253.5239,2263.5062,2248.766,288081,0.0000,1.0
2021-09-27,2264.6457,2305.4863,2256.7146,2302.0221,2287.0311,314356,0.0000,1.0
2021-09-28,2307.3095,2338.3046,2290.1711,2322.8526,2307.726,1214524,0.0000,1.0
2021-09-29,2335.5697,2337.3018,2297.2817,2303.8909,2288.8878,2433923,0.0000,1.0
2021-09-30,2304.4379,2310.1355,2279.733,2294.5468,2279.6045,270456,0.0000,1.0
2021-10-01,2284.519,2315.3773,2275.2661,2299.8798,2284.9028,2866109,0.0000,1.0
2021-10-04,2324.5391,2347.1017,2313.2806,2329.9633,2314.7903,1315342,0.0000,1.0
2021-10-05,2338.3046,2381.1507,2322.1689,2378.507,2363.018,287513,0.0000,1.0
2021-10-06,2391.1785,2391.1785,2324.6759,2333.9288,2318.73,134604,0.0000,1.0
2021-10-07,2370.2113,2370.2113,2341.1306,2344.8227,2329.553,133140,0.0000,1.0
2021-10-08,2351.9789,2446.6962,2351.9789,2434.7995,2418.9439,328023,0.0000,1.0
2021-10-11,2483.8902,2483.8902,2411.2797,2416.8406,2401.1019,2880808,0.0000,1.0
2021-10-12,2407.5877,2445.6478,2407.5877,2432.7028,2416.8608,129947,0.0000,1.0
2021-10-13,2445.8757,2479.1498,2433.113,2457.6356,2441.6313,229201,0.0000,1.0
2021-10-14,2465.9313,2477.5089,2449.6589,2461.2365,2445.2087,152754,0.0000,1.0
2021-10-18,2446.7873,2502.3505,2424.9085,2467.7546,2451.6843,161592,0.0000,1.0
2021-10-19,2485.0754,2506.9542,2468.6662,2490.0893,2473.8736,108463,0.0000,1.0
2021-10-20,2497.838,2501.5757,2453.5789,2461.2821,2445.254,2747085,0.0000,1.0
2021-10-21,2485.0298,2485.0298,2372.9461,2391.1785,2375.607,395833,0.0000,1.0
2021-10-22,2391.9078,2429.1931,2380.6037,2394.8706,2379.275,299137,0.0000,1.0
2021-10-25,2460.4616,2460.4616,2342.9538,2371.7154,2356.2706,424305,0.0000,1.0
2021-10-26,2383.3842,2432.9763,2373.2652,2426.2759,2410.4758,387791,0.0000,1.0
2021-10-27,2424.7261,2440.406,2388.4437,2399.9757,2384.3468,240760,0.0000,1.0
2021-10-28,2389.3553,2404.6705,2362.0979,2369.6187,2354.1875,404017,0.0000,1.0
2021-10-29,2357.4486,2365.7899,2281.3739,2313.3262,2298.2616,340018,0.0000,1.0
2021-11-01,2307.4918,2329.1884,2273.5796,2313.0983,2298.0352,347023,0.0000,1.0
2021-11-02,2326.3624,2326.3624,2276.3144,2279.8698,2265.023,416615,0.0000,1.0
2021-11-03,2283.3795,2297.6919,2243.4961,2264.3266,2249.5811,249022,0.0000,1.0
2021-11-08,2288.2567,2299.1049,2240.4422,2280.8725,2266.0193,183715,0.0000,1.0
2021-11-09,2280.8725,2305.4407,2266.9248,2297.3273,2282.3669,282251,0.0000,1.0
2021-11-10,2296.2789,2331.9232,2282.559,2324.0833,2308.9487,108322,0.0000,1.0
2021-11-11,2324.0833,2343.7743,2311.822,2329.1428,2313.9752,266898,0.0000,1.0
2021-11-12,2333.7465,2369.1173,2331.0116,2363.3741,2347.9836,283433,0.0000,1.0
2021-11-15,2370.2113,2372.1257,2342.8627,2350.657,2335.3493,104839,0.0000,1.0
2021-11-16,2345.5975,2348.3324,2274.4912,2290.0799,2275.1667,245061,0.0000,1.0
2021-11-17,2278.7758,2279.0493,2242.9036,2246.2766,2231.6486,370002,0.0000,1.0
2021-11-18,2242.4933,2269.0215,2234.0153,2254.2077,2239.5281,242463,0.0000,1.0
2021-11-22,2224.3521,2230.0497,2143.218,2154.522,2140.4916,416968,0.0000,1.0
2021-11-23,2132.2785,2189.2548,2105.2946,2175.2614,2161.0959,457139,0.0000,1.0
2021-11-24,2170.9312,2197.7784,2136.8366,2143.1268,2129.1706,1856369,0.0000,1.0
2021-11-25,2165.5526,2281.6018,2149.5993,2273.9442,2259.1361,476931,0.0000,1.0
2021-11-26,2251.7007,2258.4923,2190.6222,2198.9635,2184.6437,397321,0.0000,1.0
2021-11-29,2198.8268,2279.0493,2187.8873,2226.6312,2212.1311,451870,0.0000,1.0
2021-11-30,2248.0542,2257.0793,2178.7711,2194.0408,2179.753,568273,0.0000,1.0
2021-12-01,2211.1336,2255.8942,2211.1336,2248.8747,2234.2298,334818,0.0000,1.0
2021-12-02,2248.8747,2275.4028,2243.6785,2264.2811,2249.5359,212570,0.0000,1.0
